"","state","county_name","female","college","dem","rep","age","income","white","black","hispanic","total","state_code","total_votes_12","obama_votes_12","romney_votes_12","total_votes_16","clinton_votes_16","trump_votes_16","twoway12","twoway16"
"32","MI","HURON",0.525611175785797,0.345750873108265,0.456344586728754,0.441792782305006,55.1270396270396,55138.6536614646,0.964245082467929,0.00468668295662798,0.0170321930360415,1718,"MI",15484,6518,8806,15944,4579,10692,0.425345862699034,0.299849387728374
"33","MI","INGHAM",0.526263323364773,0.407100682463001,0.663216011042098,0.20956981826547,47.2520325203252,70026.4827254509,0.754468913060613,0.1024108536297,0.0696082761882242,13041,"MI",127910,80847,45306,132135,79110,43868,0.640864664336163,0.64328579095448
"34","MI","IONIA",0.520561685055166,0.357739886325644,0.441658308258108,0.409227683049147,50.2574389836175,63458.6486025903,0.933988923395445,0.00413888888888889,0.0375195997239475,2991,"MI",25761,11018,14315,27039,8352,16635,0.434926775352307,0.334253811982231
"35","MI","IOSCO",0.533619456366238,0.3068669527897,0.593705293276109,0.32761087267525,56.6618911174785,51862.6711509716,0.955712594268477,0.00746493212669683,0.0148938914027149,1398,"MI",13344,6242,6909,13429,4345,8345,0.474640711732948,0.342395587076438
"36","MI","IRON",0.476923076923077,0.364102564102564,0.565811965811966,0.336752136752137,57.4931506849315,50804.4459459459,0.954806951871658,0.0014475935828877,0.0147700534759358,585,"MI",5988,2687,3224,5960,2004,3675,0.454576213838606,0.352879027997887
"37","MI","ISABELLA",0.519822282980178,0.343814080656186,0.562542720437457,0.307245386192755,48.2433173406443,64043.7365335288,0.882009485190409,0.0146451692524683,0.0311901622002821,2926,"MI",24119,13038,10800,25540,11404,12338,0.546941857538384,0.480330216493977
"38","MI","JACKSON",0.520764229799655,0.387422051214011,0.486400424572111,0.387289372429349,51.8146820655781,62966.2624324324,0.887423,0.0525357567567568,0.0286344864864865,7537,"MI",69446,32301,36298,70125,25795,39793,0.470866922258342,0.393288406415808
"39","MI","KALAMAZOO",0.524782710829222,0.430115104533709,0.578576462297393,0.320178529480855,48.1720598605344,70303.5584003901,0.809478394426411,0.103741231889795,0.0350164040851872,12771,"MI",123178,69051,52662,126299,67148,51034,0.567326415419881,0.568174510500753
"40","MI","KALKASKA",0.503589743589744,0.315897435897436,0.536410256410256,0.365128205128205,53.6968139773895,53233.9120879121,0.962047473560517,0.00327614571092832,0.0100881316098707,975,"MI",8299,3272,4901,8833,2280,6116,0.400342591459684,0.271557884707003
"41","MI","KENT",0.519333003136866,0.426778933465412,0.478949975235265,0.397259369324748,48.2960295963533,73760.6408750797,0.786017584067254,0.0880161996263678,0.0790973178542834,30285,"MI",292985,133408,155925,310894,138683,148180,0.461088088811162,0.483446802132028
"42","MI","KEWEENAW",0.477272727272727,0.257575757575758,0.454545454545455,0.363636363636364,58.5151515151515,52751.8428571429,0.995665,0,0.00104166666666667,132,"MI",1392,582,774,1434,527,814,0.429203539823009,0.392990305741984
"43","MI","LAKE",0.530716723549488,0.25938566552901,0.645051194539249,0.276450511945392,57.1866438356164,43373.3898635478,0.879635018726592,0.0736466292134831,0.0135,586,"MI",5287,2752,2487,5358,1939,3159,0.525291086085131,0.380345233424872
"44","MI","LAPEER",0.527082880139221,0.375027191646726,0.412225364368066,0.467913856863172,51.7056776158364,69473.4472759227,0.943766090808416,0.00276068660022148,0.0343957918050941,4597,"MI",43115,18796,23734,45183,12734,30037,0.441946861039266,0.297725094105819
"45","MI","LEELANAU",0.49890750182083,0.431172614712309,0.420975965040058,0.434814275309541,56.9329934450109,77474.0226171244,0.935201640625,0.00239375,0.030979140625,1373,"MI",14176,6576,7483,14892,6774,7239,0.467743082722811,0.483408263755085
"46","MI","LENAWEE",0.53367451381781,0.37871033776868,0.463050153531218,0.412282497441146,52.5574677320221,63734.4457577037,0.894900709663953,0.0103798789396786,0.0701472970152369,4885,"MI",44724,21776,22351,46298,16750,26430,0.493484714573844,0.387911069939787
"47","MI","LIVINGSTON",0.513003313585701,0.493121799377448,0.299026006627171,0.519530073300532,51.0379670550422,92559.8365619902,0.956077597369232,0.00376998253005858,0.0179646901654506,9959,"MI",98337,37216,60083,106489,34384,65680,0.382491084183805,0.343620083146786
"48","MI","LUCE",0.468401486988848,0.271375464684015,0.163568773234201,0.483271375464684,55.9144981412639,53975.2033898305,0.892723664122137,0.00149274809160305,0.0125041984732824,269,"MI",2596,991,1580,2591,681,1756,0.385453131077402,0.27944193680755
"49","MI","MACKINAC",0.482051282051282,0.235897435897436,0.447863247863248,0.379487179487179,56.2371134020619,54377.643020595,0.746108671586716,0.00272767527675277,0.0119920664206642,585,"MI",6099,2652,3397,6144,2085,3744,0.43841957348322,0.357694287184766
"50","MI","MACOMB",0.534557159851648,0.398521144829838,0.502460870985048,0.371090014228733,50.8677404295051,72637.6425438596,0.849411072428313,0.0799078403236809,0.0213396979605279,42871,"MI",404086,208016,191913,419312,176317,224665,0.520132323487419,0.439713004573771
"51","MI","MANISTEE",0.515105740181269,0.304380664652568,0.58987915407855,0.330060422960725,56.0113636363636,54880.1988590057,0.936554632587859,0.0032888178913738,0.0222525559105431,1324,"MI",12402,6473,5737,12660,4979,6915,0.53013923013923,0.418614427442408
"52","MI","MARQUETTE",0.515846664654392,0.397826743133112,0.554482342287957,0.319348022939934,51.6912386706949,65770.134560457,0.94466001283697,0.00584614890885751,0.00998273427471117,3313,"MI",32194,18115,13606,33218,16042,14646,0.571072790895621,0.522745046923879
"53","MI","MASON",0.514990006662225,0.376415722851432,0.491672218520986,0.407728181212525,54.4666666666667,57363.0163934426,0.930270985527223,0.00577319090282564,0.0374188146106134,1501,"MI",14604,6856,7580,14792,5281,8505,0.474923801607093,0.383069780937183
"54","MI","MECOSTA",0.5281543274244,0.346193952033368,0.517726798748697,0.366006256517205,53.3616910229645,56034.9317685589,0.941754784034992,0.0149086932750137,0.0165254237288136,1918,"MI",16913,7515,9176,17259,5827,10305,0.450242645737224,0.361207537813042
"55","MI","MENOMINEE",0.503179650238474,0.307631160572337,0.486486486486487,0.355325914149444,55.1136724960254,54925.6217162872,0.966648666666667,0.00173816666666667,0.00891325,1258,"MI",10923,5242,5564,10824,3539,6702,0.4851008698871,0.345571721511571
"56","MI","MIDLAND",0.514378478664193,0.453385899814471,0.403988868274583,0.460575139146568,52.0162450684614,78107.4666666667,0.934455600379687,0.00963644992880873,0.0204196725201709,4312,"MI",41754,17450,23919,42776,15635,23846,0.421813435180933,0.396013272206884
"57","MI","MISSAUKEE",0.489501312335958,0.326771653543307,0.211286089238845,0.514435695538058,53.4711286089239,52502.9012345679,0.963684475524476,0.00213608391608392,0.0157174825174825,762,"MI",7027,2274,4665,7317,1565,5386,0.327712926934717,0.225147460797008
"58","MI","MONROE",0.523748723186925,0.383426966292135,0.462078651685393,0.399387129724208,51.3847431638129,73418.7244738893,0.92922094902881,0.0196321991917612,0.0280561465258767,7832,"MI",72853,36310,35593,74655,26863,43261,0.504985883760066,0.383078546574639
"59","MI","MONTCALM",0.502415458937198,0.32712215320911,0.518633540372671,0.375776397515528,52.0687629578438,55111.6571634789,0.944389043540328,0.00609061384725196,0.0277235546038544,2898,"MI",25431,11430,13621,26760,7874,16907,0.456269210809948,0.317743432468423
"60","MI","MONTMORENCY",0.507782101167315,0.313229571984436,0.581712062256809,0.381322957198444,58.48828125,48159.6309278351,0.968494626168224,0.00260070093457944,0.00736705607476635,514,"MI",5051,2049,2928,5032,1287,3498,0.411693791440627,0.268965517241379
"61","MI","MUSKEGON",0.524554341575618,0.337895342150661,0.584473835537665,0.31627372052904,50.980310880829,56995.8987371375,0.796956801965142,0.124955012282138,0.0434193005029828,8695,"MI",76163,44436,30884,78723,37304,36127,0.58996282527881,0.50801432637442
"62","MI","NEWAYGO",0.50398322851153,0.323270440251572,0.478825995807128,0.427253668763103,53.0503355704698,56239.6648020654,0.921076278659612,0.00966406525573192,0.0453370811287478,2385,"MI",21478,8728,12457,22782,6212,15173,0.41198961529384,0.290483984101005
"63","MI","OAKLAND",0.532809748648185,0.47371947703863,0.511414457793776,0.368799962601094,50.7082982505379,95980.3445046354,0.763666213806706,0.132823198422091,0.0313710895463511,64173,"MI",651607,349002,296514,668925,343070,289203,0.540655847415091,0.542597896794581
"64","MI","OCEANA",0.484457922668688,0.332827899924185,0.549658832448825,0.363153904473086,53.3808801213961,55373.7282343369,0.859956254917388,0.00321266719118804,0.112537844217152,1319,"MI",11450,5063,6239,11930,3973,7228,0.447973809945142,0.354700473172038
"65","MI","OGEMAW",0.526465028355388,0.290170132325142,0.629489603024575,0.325141776937618,56.1965973534972,49992.7678916828,0.959820470829069,0.00262302968270215,0.0160288638689867,1058,"MI",10361,4791,5437,10440,3030,6827,0.468420023464998,0.307395759358831
"66","MI","ONTONAGON",0.496124031007752,0.286821705426357,0.483204134366925,0.34625322997416,60.6279069767442,47075.9166666667,0.958962908011869,0.000262017804154303,0.0125448071216617,387,"MI",3539,1586,1906,3433,1176,2066,0.45418098510882,0.362739049969155
"67","MI","OSCEOLA",0.533333333333333,0.309259259259259,0.250925925925926,0.496296296296296,53.7747914735867,51254.8007736944,0.9610138671875,0.004891796875,0.0122435546875,1080,"MI",10278,3981,6141,10609,2705,7336,0.39330171902786,0.269395478537994
"68","MI","OSCODA",0.5,0.301401869158879,0.593457943925234,0.345794392523364,56.367681498829,45305.7,0.97436529562982,0.00211876606683805,0.0072159383033419,428,"MI",4042,1657,2308,4092,1044,2843,0.417906683480454,0.268587599691279
"69","MI","OTSEGO",0.524705882352941,0.323137254901961,0.455686274509804,0.387450980392157,53.1117230527144,62083.8886118038,0.960956218487395,0.00308134453781513,0.0118199159663866,1275,"MI",11855,4681,7011,12610,3556,8266,0.400359219979473,0.300795127727965
"70","MI","OTTAWA",0.522723908216136,0.427165062916358,0.183271650629164,0.57120651369356,49.2661039537983,74809.041556078,0.876820143830999,0.0111579069593228,0.073203520862986,13510,"MI",132312,42737,88166,143848,44973,88467,0.32647838475818,0.337027877697842
"71","MI","PRESQUE ISLE",0.528571428571429,0.371428571428571,0.497142857142857,0.404285714285714,58.9457142857143,53204.4854961832,0.978148136645963,0.00194968944099379,0.00534891304347826,700,"MI",7080,3192,3794,7257,2400,4488,0.456913827655311,0.348432055749129
"72","MI","ROSCOMMON",0.526606772633034,0.304768486523842,0.607463718037319,0.330338631651693,59.1462231462231,47515.1157580284,0.967339082969432,0.00172241630276565,0.012003711790393,1447,"MI",13032,6198,6701,13096,4287,8141,0.480502364524382,0.344946894110074
"73","MI","SAGINAW",0.525247475252475,0.36996300369963,0.575942405759424,0.328667133286671,51.6840788551986,60170.9708303689,0.724804428194191,0.171954143814747,0.0733631931748934,10001,"MI",98062,54381,42720,94780,44396,45469,0.5600457255847,0.494029933789573
"74","MI","SANILAC",0.505445544554455,0.349009900990099,0.241089108910891,0.518811881188119,53.6523031203566,56045.3996929376,0.952085580912863,0.00220077800829875,0.0305031639004149,2020,"MI",18369,7212,10963,19249,4873,13446,0.396808803301238,0.266007969867351
"75","MI","SCHOOLCRAFT",0.538,0.132,0.43,0.302,57.002,51314.5280373832,0.926133056133056,0.0010047817047817,0.00378835758835759,500,"MI",4048,1865,2142,4177,1369,2556,0.465435487896182,0.348789808917197
"76","MI","SHIAWASSEE",0.517319704713231,0.363713798977853,0.525553662691652,0.382737081203861,52.3341858482523,62071.5170305677,0.953825161290323,0.00351777126099707,0.0229471847507331,3522,"MI",33679,17197,15962,34111,12546,19230,0.518622395126512,0.394826283987915
"77","MI","ST. CLAIR",0.526428063522162,0.353519791419768,0.456861815596113,0.417871533538753,51.9500711574953,65679.9007522446,0.928864324585802,0.0205498004595477,0.0256476357479744,8438,"MI",74181,33983,39271,78003,24553,49051,0.46390640784121,0.333582413999239
"78","MI","ST. JOSEPH",0.5160154875044,0.307990144315382,0.482576557550158,0.382259767687434,51.9961212976023,59526.758420862,0.894960028912179,0.024674485001807,0.0519927719551861,2841,"MI",23341,10112,12978,23967,7526,14884,0.437938501515808,0.335832217759929
"79","MI","TUSCOLA",0.513456090651558,0.355878186968839,0.462464589235127,0.425637393767705,52.1297412265154,57937.4425578035,0.949209897735573,0.00722695398100803,0.0273319211102995,2824,"MI",26003,11425,14240,25928,7429,17102,0.445158776543931,0.302841302841303
"80","MI","VAN BUREN",0.522222222222222,0.337940379403794,0.523577235772358,0.355826558265583,52.1805103148751,60852.5055865922,0.852453687726134,0.0349003618146396,0.0824948510993599,3690,"MI",32837,16290,16141,33274,13258,17890,0.502297184792328,0.425645306279697
"81","MI","WASHTENAW",0.522964959568733,0.429973045822102,0.637681940700809,0.20177897574124,46.8197702637114,92075.1903753719,0.746017460667955,0.115922693900083,0.0368004692243997,18550,"MI",179592,120890,56412,190079,128483,50631,0.681831000214324,0.717325278872673
"82","MI","WAYNE",0.527530277062075,0.316209436682065,0.705662690260264,0.172184829120461,49.8237841893459,62218.843065609,0.515111186044111,0.397675408595121,0.0405624929750313,88103,"MI",815825,595846,213814,782719,519444,228993,0.735921250895438,0.694038375975533
"83","MI","WEXFORD",0.511711711711712,0.350750750750751,0.512912912912913,0.386186186186186,52.0276774969916,56044.6,0.954896672944131,0.00345047080979284,0.0137045197740113,1665,"MI",14853,6184,8450,15370,4436,10000,0.422577559108924,0.307287337212524
"84","WI","GOGEBIC",0.6,0,0,0.8,66.6,NA,1,0,0,5,"MI",7576,4058,3444,7383,2925,4018,0.540922420687817,0.421287627826588
"85","WI","IRON",0,0,0,0,83,NA,NA,NA,NA,1,"MI",5988,2687,3224,5960,2004,3675,0.454576213838606,0.352879027997887
