"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1669","NY","New York",2457.04586437874,0.0228739410933427,0.0310997113817942,51526.8401670463,49899.0002510548,115,"Washington",24528,23095,9098,11523,13610,11085,FALSE,0.400651752686278,0.509686836518047
"1670","CO","Colorado",1593.38732782556,0.107603999659141,0.00143471879716241,45298,1134.00006002188,57,"Jackson",861,848,171,216,629,600,FALSE,0.21375,0.264705882352941
"1671","IN","Indiana",4741.4704818816,0.0649904736046464,0.130462193370346,54056.7319779697,259371.000069648,3,"Allen",148632,146939,55382,60036,83930,84613,TRUE,0.397539336166303,0.415046077055493
"1672","IN","Indiana",1154.21600773674,0.00917728850122666,0.00537659130139041,42702.8058864426,16564.0002413988,119,"Owen",8557,8113,1946,2823,6153,5062,TRUE,0.240276577355229,0.358021559923906
"1673","IN","Indiana",2228.93737110085,0.0114168838333226,0.00658237294189344,46755.3970992934,20449.0009645075,21,"Clay",11335,10784,2306,3460,8531,7096,TRUE,0.212789517394113,0.327775672603259
"1674","PA","Pennsylvania",10230.5101522948,0.0155883680437003,0.141740532479525,56386.0461238691,981685.015052162,3,"Allegheny",657189,622081,367617,352687,259480,262039,TRUE,0.586220313603797,0.573730409971272
"1675","MN","Minnesota",1999.618534427,0.0127140028021553,0.0128584817312386,35800.2680777288,10517.0003661811,159,"Wadena",6934,6791,1684,2492,4837,4143,TRUE,0.258242600828094,0.375584024114544
"1676","MN","Minnesota",1782.25472465442,0.0144461065984858,0.0077786697203244,46354.3270490861,19482.0003543496,95,"Mille Lacs",13017,13091,3710,5829,8340,6951,TRUE,0.307883817427386,0.456103286384977
"1677","MN","Minnesota",2291.09685799824,0.035776346608148,0.00940406900769355,47191.5238679342,7600.00047759712,151,"Swift",4994,5119,1686,2751,2963,2248,TRUE,0.362658636265864,0.550310062012403
"1678","MN","Minnesota",1691.3668269297,0.0260021278649197,0.00977261106102206,48205.2755527634,44846.0008314848,111,"Otter Tail",32500,31670,9340,12165,20939,18860,TRUE,0.308464612437663,0.392103142626914
"1679","OK","Oklahoma",1316.69870843546,0.0527707873625591,0.00445267325063958,30813.6322796808,16326.0005829334,1,"Adair",6513,6508,1382,2127,4787,4381,FALSE,0.224023342519047,0.326828518746159
"1680","OK","Oklahoma",1492.96878050559,0.0386054576736257,0.0260107730973185,36646.5568129963,8271.00027264655,69,"Johnston",4018,3786,786,1137,3093,2649,FALSE,0.202629543696829,0.300316957210777
